application_number,application_year,application_date,xml_relative_path
9896610,2003,20030102,xml_files\pa030102_09896610_20030102.xml
9681928,2003,20030102,xml_files\pa030102_09681928_20030102.xml
10155431,2003,20030102,xml_files\pa030102_10155431_20030102.xml
10212431,2003,20030102,xml_files\pa030102_10212431_20030102.xml
10165944,2003,20030102,xml_files\pa030102_10165944_20030102.xml
10145608,2003,20030102,xml_files\pa030102_10145608_20030102.xml
10174820,2003,20030102,xml_files\pa030102_10174820_20030102.xml
10185968,2003,20030102,xml_files\pa030102_10185968_20030102.xml
10228421,2003,20030102,xml_files\pa030102_10228421_20030102.xml
10158033,2003,20030102,xml_files\pa030102_10158033_20030102.xml
10236764,2003,20030102,xml_files\pa030102_10236764_20030102.xml
10143936,2003,20030102,xml_files\pa030102_10143936_20030102.xml
10217784,2003,20030102,xml_files\pa030102_10217784_20030102.xml
10231761,2003,20030102,xml_files\pa030102_10231761_20030102.xml
10169759,2003,20030102,xml_files\pa030102_10169759_20030102.xml
10149537,2003,20030102,xml_files\pa030102_10149537_20030102.xml
9883473,2003,20030102,xml_files\pa030102_09883473_20030102.xml
9894530,2003,20030102,xml_files\pa030102_09894530_20030102.xml
9881185,2003,20030102,xml_files\pa030102_09881185_20030102.xml
10175945,2003,20030102,xml_files\pa030102_10175945_20030102.xml
10134631,2003,20030102,xml_files\pa030102_10134631_20030102.xml
9882599,2003,20030102,xml_files\pa030102_09882599_20030102.xml
10098781,2003,20030102,xml_files\pa030102_10098781_20030102.xml
10180070,2003,20030102,xml_files\pa030102_10180070_20030102.xml
9832668,2003,20030102,xml_files\pa030102_09832668_20030102.xml
9896928,2003,20030102,xml_files\pa030102_09896928_20030102.xml
10169724,2003,20030102,xml_files\pa030102_10169724_20030102.xml
9894672,2003,20030102,xml_files\pa030102_09894672_20030102.xml
10177669,2003,20030102,xml_files\pa030102_10177669_20030102.xml
10169903,2003,20030102,xml_files\pa030102_10169903_20030102.xml
10195820,2003,20030102,xml_files\pa030102_10195820_20030102.xml
10035196,2003,20030102,xml_files\pa030102_10035196_20030102.xml
9897650,2003,20030102,xml_files\pa030102_09897650_20030102.xml
10181932,2003,20030102,xml_files\pa030102_10181932_20030102.xml
10079841,2003,20030102,xml_files\pa030102_10079841_20030102.xml
10168427,2003,20030102,xml_files\pa030102_10168427_20030102.xml
10169742,2003,20030102,xml_files\pa030102_10169742_20030102.xml
10169747,2003,20030102,xml_files\pa030102_10169747_20030102.xml
10181041,2003,20030102,xml_files\pa030102_10181041_20030102.xml
10234359,2003,20030102,xml_files\pa030102_10234359_20030102.xml
10182751,2003,20030102,xml_files\pa030102_10182751_20030102.xml
9897770,2003,20030102,xml_files\pa030102_09897770_20030102.xml
9600400,2003,20030102,xml_files\pa030102_09600400_20030102.xml
10171632,2003,20030102,xml_files\pa030102_10171632_20030102.xml
10187520,2003,20030102,xml_files\pa030102_10187520_20030102.xml
10179223,2003,20030102,xml_files\pa030102_10179223_20030102.xml
10035018,2003,20030102,xml_files\pa030102_10035018_20030102.xml
10169746,2003,20030102,xml_files\pa030102_10169746_20030102.xml
9893507,2003,20030102,xml_files\pa030102_09893507_20030102.xml
9893343,2003,20030102,xml_files\pa030102_09893343_20030102.xml
10054738,2003,20030102,xml_files\pa030102_10054738_20030102.xml
10182273,2003,20030102,xml_files\pa030102_10182273_20030102.xml
10181533,2003,20030102,xml_files\pa030102_10181533_20030102.xml
9893097,2003,20030102,xml_files\pa030102_09893097_20030102.xml
10169999,2003,20030102,xml_files\pa030102_10169999_20030102.xml
9898433,2003,20030102,xml_files\pa030102_09898433_20030102.xml
9893508,2003,20030102,xml_files\pa030102_09893508_20030102.xml
9893530,2003,20030102,xml_files\pa030102_09893530_20030102.xml
9896247,2003,20030102,xml_files\pa030102_09896247_20030102.xml
10163064,2003,20030102,xml_files\pa030102_10163064_20030102.xml
10169150,2003,20030102,xml_files\pa030102_10169150_20030102.xml
10143580,2003,20030102,xml_files\pa030102_10143580_20030102.xml
10180310,2003,20030102,xml_files\pa030102_10180310_20030102.xml
10117976,2003,20030102,xml_files\pa030102_10117976_20030102.xml
10134028,2003,20030102,xml_files\pa030102_10134028_20030102.xml
10175727,2003,20030102,xml_files\pa030102_10175727_20030102.xml
10130813,2003,20030102,xml_files\pa030102_10130813_20030102.xml
10102390,2003,20030102,xml_files\pa030102_10102390_20030102.xml
9778357,2003,20030102,xml_files\pa030102_09778357_20030102.xml
10234747,2003,20030102,xml_files\pa030102_10234747_20030102.xml
10234748,2003,20030102,xml_files\pa030102_10234748_20030102.xml
9888949,2003,20030102,xml_files\pa030102_09888949_20030102.xml
9896540,2003,20030102,xml_files\pa030102_09896540_20030102.xml
9893329,2003,20030102,xml_files\pa030102_09893329_20030102.xml
10169549,2003,20030102,xml_files\pa030102_10169549_20030102.xml
10181068,2003,20030102,xml_files\pa030102_10181068_20030102.xml
10163580,2003,20030102,xml_files\pa030102_10163580_20030102.xml
9896543,2003,20030102,xml_files\pa030102_09896543_20030102.xml
9893765,2003,20030102,xml_files\pa030102_09893765_20030102.xml
10095834,2003,20030102,xml_files\pa030102_10095834_20030102.xml
10174942,2003,20030102,xml_files\pa030102_10174942_20030102.xml
10119937,2003,20030102,xml_files\pa030102_10119937_20030102.xml
9897003,2003,20030102,xml_files\pa030102_09897003_20030102.xml
10156449,2003,20030102,xml_files\pa030102_10156449_20030102.xml
10180490,2003,20030102,xml_files\pa030102_10180490_20030102.xml
10217516,2003,20030102,xml_files\pa030102_10217516_20030102.xml
10232368,2003,20030102,xml_files\pa030102_10232368_20030102.xml
9895745,2003,20030102,xml_files\pa030102_09895745_20030102.xml
9892493,2003,20030102,xml_files\pa030102_09892493_20030102.xml
10235739,2003,20030102,xml_files\pa030102_10235739_20030102.xml
10186751,2003,20030102,xml_files\pa030102_10186751_20030102.xml
10180124,2003,20030102,xml_files\pa030102_10180124_20030102.xml
10181254,2003,20030102,xml_files\pa030102_10181254_20030102.xml
9894232,2003,20030102,xml_files\pa030102_09894232_20030102.xml
10088144,2003,20030102,xml_files\pa030102_10088144_20030102.xml
10157998,2003,20030102,xml_files\pa030102_10157998_20030102.xml
10187018,2003,20030102,xml_files\pa030102_10187018_20030102.xml
10178394,2003,20030102,xml_files\pa030102_10178394_20030102.xml
10156138,2003,20030102,xml_files\pa030102_10156138_20030102.xml
10064326,2003,20030102,xml_files\pa030102_10064326_20030102.xml
10064327,2003,20030102,xml_files\pa030102_10064327_20030102.xml
9892456,2003,20030102,xml_files\pa030102_09892456_20030102.xml
10163336,2003,20030102,xml_files\pa030102_10163336_20030102.xml
10203896,2003,20030102,xml_files\pa030102_10203896_20030102.xml
9894856,2003,20030102,xml_files\pa030102_09894856_20030102.xml
9896816,2003,20030102,xml_files\pa030102_09896816_20030102.xml
10011557,2003,20030102,xml_files\pa030102_10011557_20030102.xml
10171780,2003,20030102,xml_files\pa030102_10171780_20030102.xml
10168272,2003,20030102,xml_files\pa030102_10168272_20030102.xml
10238770,2003,20030102,xml_files\pa030102_10238770_20030102.xml
10027482,2003,20030102,xml_files\pa030102_10027482_20030102.xml
9892654,2003,20030102,xml_files\pa030102_09892654_20030102.xml
10171965,2003,20030102,xml_files\pa030102_10171965_20030102.xml
9891281,2003,20030102,xml_files\pa030102_09891281_20030102.xml
10180515,2003,20030102,xml_files\pa030102_10180515_20030102.xml
9892548,2003,20030102,xml_files\pa030102_09892548_20030102.xml
9893923,2003,20030102,xml_files\pa030102_09893923_20030102.xml
9894738,2003,20030102,xml_files\pa030102_09894738_20030102.xml
9893818,2003,20030102,xml_files\pa030102_09893818_20030102.xml
9894330,2003,20030102,xml_files\pa030102_09894330_20030102.xml
10223541,2003,20030102,xml_files\pa030102_10223541_20030102.xml
10234866,2003,20030102,xml_files\pa030102_10234866_20030102.xml
9896667,2003,20030102,xml_files\pa030102_09896667_20030102.xml
10081865,2003,20030102,xml_files\pa030102_10081865_20030102.xml
10179269,2003,20030102,xml_files\pa030102_10179269_20030102.xml
10182460,2003,20030102,xml_files\pa030102_10182460_20030102.xml
9885176,2003,20030102,xml_files\pa030102_09885176_20030102.xml
9892584,2003,20030102,xml_files\pa030102_09892584_20030102.xml
10232534,2003,20030102,xml_files\pa030102_10232534_20030102.xml
9249087,2003,20030102,xml_files\pa030102_09249087_20030102.xml
9880650,2003,20030102,xml_files\pa030102_09880650_20030102.xml
10182511,2003,20030102,xml_files\pa030102_10182511_20030102.xml
10102223,2003,20030102,xml_files\pa030102_10102223_20030102.xml
10125304,2003,20030102,xml_files\pa030102_10125304_20030102.xml
9894708,2003,20030102,xml_files\pa030102_09894708_20030102.xml
10159400,2003,20030102,xml_files\pa030102_10159400_20030102.xml
10171110,2003,20030102,xml_files\pa030102_10171110_20030102.xml
10180791,2003,20030102,xml_files\pa030102_10180791_20030102.xml
10180057,2003,20030102,xml_files\pa030102_10180057_20030102.xml
9892839,2003,20030102,xml_files\pa030102_09892839_20030102.xml
10228760,2003,20030102,xml_files\pa030102_10228760_20030102.xml
10182688,2003,20030102,xml_files\pa030102_10182688_20030102.xml
10181154,2003,20030102,xml_files\pa030102_10181154_20030102.xml
9897818,2003,20030102,xml_files\pa030102_09897818_20030102.xml
10169440,2003,20030102,xml_files\pa030102_10169440_20030102.xml
10183884,2003,20030102,xml_files\pa030102_10183884_20030102.xml
9964799,2003,20030102,xml_files\pa030102_09964799_20030102.xml
10136535,2003,20030102,xml_files\pa030102_10136535_20030102.xml
10183376,2003,20030102,xml_files\pa030102_10183376_20030102.xml
10148692,2003,20030102,xml_files\pa030102_10148692_20030102.xml
10177482,2003,20030102,xml_files\pa030102_10177482_20030102.xml
10169063,2003,20030102,xml_files\pa030102_10169063_20030102.xml
10227816,2003,20030102,xml_files\pa030102_10227816_20030102.xml
10148903,2003,20030102,xml_files\pa030102_10148903_20030102.xml
9880559,2003,20030102,xml_files\pa030102_09880559_20030102.xml
10182516,2003,20030102,xml_files\pa030102_10182516_20030102.xml
10227843,2003,20030102,xml_files\pa030102_10227843_20030102.xml
10131003,2003,20030102,xml_files\pa030102_10131003_20030102.xml
9883571,2003,20030102,xml_files\pa030102_09883571_20030102.xml
9878737,2003,20030102,xml_files\pa030102_09878737_20030102.xml
10124961,2003,20030102,xml_files\pa030102_10124961_20030102.xml
10181730,2003,20030102,xml_files\pa030102_10181730_20030102.xml
10176531,2003,20030102,xml_files\pa030102_10176531_20030102.xml
10181738,2003,20030102,xml_files\pa030102_10181738_20030102.xml
10102197,2003,20030102,xml_files\pa030102_10102197_20030102.xml
10184887,2003,20030102,xml_files\pa030102_10184887_20030102.xml
9895704,2003,20030102,xml_files\pa030102_09895704_20030102.xml
10163006,2003,20030102,xml_files\pa030102_10163006_20030102.xml
10182008,2003,20030102,xml_files\pa030102_10182008_20030102.xml
10169094,2003,20030102,xml_files\pa030102_10169094_20030102.xml
9894419,2003,20030102,xml_files\pa030102_09894419_20030102.xml
9893757,2003,20030102,xml_files\pa030102_09893757_20030102.xml
9892253,2003,20030102,xml_files\pa030102_09892253_20030102.xml
10176042,2003,20030102,xml_files\pa030102_10176042_20030102.xml
9879254,2003,20030102,xml_files\pa030102_09879254_20030102.xml
10169586,2003,20030102,xml_files\pa030102_10169586_20030102.xml
10168336,2003,20030102,xml_files\pa030102_10168336_20030102.xml
10186795,2003,20030102,xml_files\pa030102_10186795_20030102.xml
10080147,2003,20030102,xml_files\pa030102_10080147_20030102.xml
9896432,2003,20030102,xml_files\pa030102_09896432_20030102.xml
10183023,2003,20030102,xml_files\pa030102_10183023_20030102.xml
10186983,2003,20030102,xml_files\pa030102_10186983_20030102.xml
10149308,2003,20030102,xml_files\pa030102_10149308_20030102.xml
9898536,2003,20030102,xml_files\pa030102_09898536_20030102.xml
9896175,2003,20030102,xml_files\pa030102_09896175_20030102.xml
10160001,2003,20030102,xml_files\pa030102_10160001_20030102.xml
10182289,2003,20030102,xml_files\pa030102_10182289_20030102.xml
10030602,2003,20030102,xml_files\pa030102_10030602_20030102.xml
10153594,2003,20030102,xml_files\pa030102_10153594_20030102.xml
9813760,2003,20030102,xml_files\pa030102_09813760_20030102.xml
9742825,2003,20030102,xml_files\pa030102_09742825_20030102.xml
10086024,2003,20030102,xml_files\pa030102_10086024_20030102.xml
10090375,2003,20030102,xml_files\pa030102_10090375_20030102.xml
9891452,2003,20030102,xml_files\pa030102_09891452_20030102.xml
10166619,2003,20030102,xml_files\pa030102_10166619_20030102.xml
9875359,2003,20030102,xml_files\pa030102_09875359_20030102.xml
10217669,2003,20030102,xml_files\pa030102_10217669_20030102.xml
10228234,2003,20030102,xml_files\pa030102_10228234_20030102.xml
9897512,2003,20030102,xml_files\pa030102_09897512_20030102.xml
10064319,2003,20030102,xml_files\pa030102_10064319_20030102.xml
10182417,2003,20030102,xml_files\pa030102_10182417_20030102.xml
10175434,2003,20030102,xml_files\pa030102_10175434_20030102.xml
